ins	tilim_cplex	instance_nodes	num_arcs_instance	globparam_howmuch_drone_is_faster	globparam_cmax	globparam_cmax_ratio	globparam_penalty_survop	globparam_service_time	shortcuts_allowed	truck_manhattan_distance_metric	num_damaged_arcs	list_of_dam_arcs	globparam_input_clustered_damage	globparam_input_customer_ratio	list_of_customers	customer_num	input_parking_nodes	list_of_parking_nodes	parking_nodes_num	optimistic_surv_reopt_ops	globparam_sichtfeld_setting	optimistic_initial_solution	full_info_obj	time_full_info	full_info_truck_arcs	full_info_solution_procedure	full_info_truck_travel_duration	full_info_drone_travel_duration	full_info_tandem_travel	full_info_drone_sortie_duration	full_info_truck_wait	full_info_drone_wait	full_info_ops_num	full_info_drone_truck_tandem_ops	survfirst_surveillance_sol	survfirst_obj	total_cost_surveillance_first	n_replan_surveillance_first	list_of_surveillance_customers	num_surv_customers	time_survfirst_surveillance	surv_truck_arcs	survfirst_solution_procedure	survfirst_truck_travel_duration	survfirst_drone_travel_duration	survfirst_tandem_travel	survfirst_drone_sortie_duration	survfirst_truck_wait	survfirst_drone_wait	survfirst_planned_truck_damages	survfirst_ops_num	survfirst_drone_truck_tandem_ops	survfirst_truck_times_vec	survfirst_drone_times_vec	survfirst_truck_wait_vec	survfirst_drone_wait_vec	survfirst_drone_times_comb_vec	survop_surveillance_sol	survop_obj	total_cost_survop	n_replan_survop_survphase	dyn_cmax	list_of_surveillance_survop_customers	num_survop_customers	n_replan_survop_reoptphase	n_replan_survop_reopt_last_operation	time_survop_surveillance	survop_truck_arcs	survop_solution_procedure	survop_truck_travel_duration	survop_drone_travel_duration	survop_tandem_travel	survop_drone_sortie_duration	survop_truck_wait	survop_drone_wait	survop_surv_planned_truck_damages	survop_deliv_planned_truck_damages	survop_ops_num	survop_drone_truck_tandem_ops	survop_truck_times_vec	survop_drone_times_vec	survop_truck_wait_vec	survop_drone_wait_vec	survop_drone_times_comb_vec	reopt_obj	n_replan_reopt	n_replan_last_op_last_delivery	time_reopt	reopt_truck_arcs	reopt_solution_procedure	reopt_truck_travel_duration	reopt_drone_travel_duration	reopt_tandem_travel	reopt_drone_sortie_duration	reopt_truck_wait	reopt_drone_wait	reopt_planned_truck_damages	reopt_ops_num	reopt_drone_truck_tandem_ops	reopt_truck_times_vec	reopt_drone_times_vec	reopt_truck_wait_vec	reopt_drone_wait_vec	reopt_drone_times_comb_vec	conservative_obj	time_conservative	drone_op_times	random_seeds	iteration	error_text	time_stamp	year	month	day	time
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 8),(1, 15),(2, 6),(2, 10),(2, 12),(3, 1),(3, 4),(3, 13),(4, 1),(4, 3),(4, 5),(4, 9),(4, 12),(4, 14),(5, 4),(5, 11),(5, 15),(6, 2),(7, 9),(7, 10),(7, 11),(7, 13),(8, 1),(9, 4),(9, 7),(10, 2),(10, 7),(10, 13),(10, 15),(11, 5),(11, 7),(11, 14),(12, 2),(12, 4),(13, 3),(13, 7),(13, 10),(14, 4),(14, 11),(15, 1),(15, 5),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2735.0	0.028966	[(0, 9),(0, 13),(9, 0),(13, 0)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	0	1284.0	2735.0	4019.0	2	[5, 9, 13, ]	3	0.083242	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(10, 13),(13, 0),(13, 10)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	4	3	0	[356,827,471]	[739,1303.5,692.5]	[383,476.5,221.5]	[0,0,0]	[739,1303.5,692.5]	0.0	2936.0	2936.0	0	89.0	[]	0	1	0	0.065482	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	2936.0	1	0	0.034884	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	3935.0	0.000159	[774,1417,471,917,356]	1085023222534	1		1719780682	2024	6	30	22:51:22
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 11),(1, 12),(1, 15),(2, 6),(2, 10),(2, 11),(2, 12),(3, 1),(3, 4),(3, 13),(4, 1),(4, 3),(4, 12),(5, 11),(6, 2),(6, 15),(7, 9),(7, 10),(7, 11),(7, 13),(9, 7),(9, 14),(10, 2),(10, 7),(10, 13),(10, 15),(11, 1),(11, 2),(11, 5),(11, 7),(11, 14),(12, 1),(12, 2),(12, 4),(13, 3),(13, 7),(13, 10),(14, 9),(14, 11),(15, 1),(15, 6),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2664.500	0.025534	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(13, 0)]	completion_time	2568.0	2634.0	0.0	0.0	96.500	30.500	2	0	1284.0	2664.500	3948.500	1	[4, 5, 9, 13, ]	4	0.059636	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(10, 13),(13, 0),(13, 10)]	completion_time	2568.0	2634.0	0.0	0.0	96.500	30.500	2	2	0	[1183,1385]	[1152.5,1481.5]	[0,96.5]	[30.5,0]	[1183,1481.5]	0.0	2936.0	2936.0	0	89.0	[]	0	1	0	0.079608	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	2936.0	1	0	0.051713	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	3935.0	0.000266	[774,1417,471,917,356]	237698460046	1		1719780682	2024	6	30	22:51:22
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 8),(1, 11),(1, 15),(2, 10),(2, 11),(3, 1),(3, 4),(4, 1),(4, 3),(4, 5),(4, 7),(4, 9),(4, 12),(4, 15),(5, 4),(5, 8),(5, 11),(5, 15),(7, 4),(7, 10),(7, 11),(7, 13),(8, 1),(8, 5),(9, 4),(9, 14),(10, 2),(10, 7),(10, 15),(11, 1),(11, 2),(11, 5),(11, 7),(11, 14),(12, 4),(13, 7),(14, 9),(14, 11),(15, 1),(15, 4),(15, 5),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2556.0	0.025835	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	3	0	917.0	2556.0	3473.0	0	[10, 13, ]	2	0.048545	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	0.0	2556.0	2556.0	0	89.0	[]	0	0	0	0.093822	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	2556.0	0	0	0.045367	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	3935.0	0.000370	[774,1417,471,917,356]	540231643407	1		1719780683	2024	6	30	22:51:23
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 8),(1, 11),(1, 12),(2, 10),(2, 11),(2, 12),(3, 1),(4, 1),(4, 7),(4, 9),(4, 12),(4, 14),(4, 15),(5, 8),(5, 11),(6, 15),(7, 4),(7, 9),(7, 10),(7, 13),(8, 1),(8, 5),(9, 4),(9, 7),(9, 14),(10, 2),(10, 7),(10, 13),(11, 1),(11, 2),(11, 5),(11, 14),(12, 1),(12, 2),(12, 4),(13, 7),(13, 10),(14, 4),(14, 9),(14, 11),(15, 4),(15, 6)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2735.0	0.023506	[(0, 9),(0, 13),(9, 0),(13, 0)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	0	1284.0	2735.0	4019.0	2	[4, 5, 9, 13, ]	4	0.086763	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(10, 13),(13, 0),(13, 10)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	3	0	[356,827,471]	[739,1303.5,692.5]	[383,476.5,221.5]	[0,0,0]	[739,1303.5,692.5]	0.0	2936.0	2936.0	0	89.0	[]	0	1	0	0.077511	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	2936.0	1	0	0.034057	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	3935.0	0.000282	[774,1417,471,917,356]	105683980690	1		1719780683	2024	6	30	22:51:23
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 4),(1, 8),(1, 11),(1, 12),(1, 15),(2, 10),(2, 11),(2, 12),(3, 13),(4, 1),(4, 5),(4, 7),(4, 9),(4, 12),(4, 14),(5, 4),(5, 8),(5, 11),(5, 15),(6, 15),(7, 4),(7, 10),(7, 11),(8, 1),(8, 5),(9, 4),(9, 14),(10, 2),(10, 7),(11, 1),(11, 2),(11, 5),(11, 7),(11, 14),(12, 1),(12, 2),(12, 4),(13, 3),(14, 4),(14, 9),(14, 11),(15, 1),(15, 5),(15, 6)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2556.0	0.024984	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	3	0	917.0	2556.0	3473.0	0	[10, 13, ]	2	0.028920	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	0.0	2556.0	2556.0	0	89.0	[]	0	0	0	0.058967	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	2556.0	0	0	0.023912	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	3935.0	0.000174	[774,1417,471,917,356]	128913289618	1		1719780684	2024	6	30	22:51:24
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 15),(2, 10),(2, 11),(2, 12),(3, 1),(3, 4),(3, 13),(4, 3),(4, 5),(4, 7),(4, 9),(4, 14),(4, 15),(5, 4),(5, 8),(5, 11),(6, 15),(7, 4),(7, 9),(7, 11),(7, 13),(8, 5),(9, 4),(9, 7),(9, 14),(10, 2),(10, 13),(10, 15),(11, 2),(11, 5),(11, 7),(11, 14),(12, 2),(13, 3),(13, 7),(13, 10),(14, 4),(14, 9),(14, 11),(15, 1),(15, 4),(15, 6),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2735.0	0.040147	[(0, 9),(0, 13),(9, 0),(13, 0)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	0	1284.0	2735.0	4019.0	2	[5, 9, 13, ]	3	0.088769	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(10, 13),(13, 0),(13, 10)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	4	3	0	[356,827,471]	[739,1303.5,692.5]	[383,476.5,221.5]	[0,0,0]	[739,1303.5,692.5]	0.0	2936.0	2936.0	0	89.0	[]	0	1	0	0.080327	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	2936.0	1	0	0.033205	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	3935.0	0.000193	[774,1417,471,917,356]	74413062427	1		1719780684	2024	6	30	22:51:24
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 8),(1, 11),(1, 12),(2, 6),(2, 10),(2, 11),(2, 12),(3, 1),(3, 4),(3, 13),(4, 1),(4, 3),(4, 5),(4, 12),(4, 14),(4, 15),(5, 4),(5, 11),(5, 15),(6, 2),(7, 9),(7, 11),(8, 1),(9, 7),(9, 14),(10, 2),(10, 13),(10, 15),(11, 1),(11, 2),(11, 5),(11, 7),(12, 1),(12, 2),(12, 4),(13, 3),(13, 10),(14, 4),(14, 9),(15, 4),(15, 5),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2735.0	0.024675	[(0, 9),(0, 13),(9, 0),(13, 0)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	0	1284.0	2735.0	4019.0	2	[5, 9, 13, ]	3	0.102830	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(10, 13),(13, 0),(13, 10)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	3	0	[356,827,471]	[739,1303.5,692.5]	[383,476.5,221.5]	[0,0,0]	[739,1303.5,692.5]	0.0	2936.0	2936.0	0	89.0	[]	0	1	0	0.062206	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	2936.0	1	0	0.030291	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	3935.0	0.000174	[774,1417,471,917,356]	88557711268	1		1719780685	2024	6	30	22:51:25
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 11),(1, 12),(2, 6),(2, 12),(3, 1),(3, 4),(3, 13),(4, 1),(4, 3),(4, 7),(4, 9),(4, 14),(4, 15),(5, 8),(5, 15),(6, 2),(6, 15),(7, 4),(7, 9),(7, 10),(7, 13),(8, 5),(9, 4),(9, 7),(9, 14),(10, 7),(10, 13),(10, 15),(11, 1),(11, 14),(12, 1),(12, 2),(13, 3),(13, 7),(13, 10),(14, 4),(14, 9),(14, 11),(15, 4),(15, 5),(15, 6),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2735.0	0.025733	[(0, 9),(0, 13),(9, 0),(13, 0)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	0	1284.0	2735.0	4019.0	2	[4, 5, 9, 13, ]	4	0.082169	[(0, 5),(0, 9),(0, 13),(4, 5),(4, 9),(5, 0),(5, 4),(9, 0),(9, 4),(10, 13),(13, 0),(13, 10)]	completion_time	1654.0	2735.0	0.0	0.0	1081.0	0.0	3	3	0	[356,827,471]	[739,1303.5,692.5]	[383,476.5,221.5]	[0,0,0]	[739,1303.5,692.5]	0.0	2936.0	2936.0	0	89.0	[]	0	1	0	0.064180	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	2936.0	1	0	0.037263	[(0, 5),(0, 13),(5, 0),(10, 13),(13, 0),(13, 10)]	completion_time	2260.0	2334.0	0.0	471.0	676.0	131.0	2	3	0	[712,1548]	[471,917,1417]	[471,205,0]	[0,0,131]	[471,917,1548]	3935.0	0.000157	[774,1417,471,917,356]	181230282405	1		1719780685	2024	6	30	22:51:25
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 4),(1, 11),(1, 12),(2, 6),(2, 10),(2, 11),(2, 12),(3, 4),(4, 1),(4, 3),(4, 5),(4, 7),(4, 9),(4, 14),(4, 15),(5, 4),(5, 8),(5, 11),(6, 2),(6, 15),(7, 4),(7, 9),(7, 10),(7, 11),(7, 13),(8, 5),(9, 4),(9, 7),(9, 14),(10, 2),(10, 7),(10, 15),(11, 1),(11, 2),(11, 5),(11, 7),(12, 1),(12, 2),(13, 7),(14, 4),(14, 9),(15, 4),(15, 6),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2556.0	0.027186	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	3	0	917.0	2556.0	3473.0	0	[10, 13, ]	2	0.028425	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	0.0	2556.0	2556.0	0	89.0	[]	0	0	0	0.051529	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	2556.0	0	0	0.024077	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	3935.0	0.000156	[774,1417,471,917,356]	715739684006	1		1719780685	2024	6	30	22:51:25
1791	1800.000000	16	36	2.0	-1.0	0.25	1.300000	0.000000	false	false	22	[(1, 3),(1, 4),(1, 8),(1, 12),(2, 10),(2, 11),(2, 12),(3, 1),(3, 4),(3, 13),(4, 1),(4, 3),(4, 7),(4, 9),(4, 12),(4, 14),(4, 15),(5, 8),(5, 11),(5, 15),(6, 15),(7, 4),(7, 11),(7, 13),(8, 1),(8, 5),(9, 4),(9, 14),(10, 2),(10, 15),(11, 2),(11, 5),(11, 7),(12, 1),(12, 2),(12, 4),(13, 3),(13, 7),(14, 4),(14, 9),(15, 4),(15, 5),(15, 6),(15, 10)]	0.000000	0.333000	[5, 6, 9, 10, 13,]	5	0.333000	[0, 5, 6, 9, 10, 13,]	6	3	NONE	2556.0	2556.0	0.024957	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	3	0	917.0	2556.0	3473.0	0	[10, 13, ]	2	0.030822	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	0.0	2556.0	2556.0	0	89.0	[]	0	0	0	0.069364	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	2556.0	0	0	0.041323	[(0, 13),(10, 13),(13, 0),(13, 10)]	completion_time	1834.0	2085.0	0.0	471.0	722.0	0.0	0	3	0	[917,917]	[471,958.5,1126.5]	[471,41.5,209.5]	[0,0,0]	[471,958.5,1126.5]	3935.0	0.000275	[774,1417,471,917,356]	858643297842	1		1719780686	2024	6	30	22:51:26
